place_id,display_name,wiki_title,year,month,views,source
lk_ampara_gal_oya_national_park,Gal Oya National Park,Gal_Oya_National_Park,2025,9,184,Wikimedia Pageviews API monthly per-article
lk_ampara_gal_oya_national_park,Gal Oya National Park,Gal_Oya_National_Park,2025,10,217,Wikimedia Pageviews API monthly per-article
lk_ampara_gal_oya_national_park,Gal Oya National Park,Gal_Oya_National_Park,2025,11,233,Wikimedia Pageviews API monthly per-article
lk_ampara_gal_oya_national_park,Gal Oya National Park,Gal_Oya_National_Park,2025,12,215,Wikimedia Pageviews API monthly per-article
lk_ampara_gal_oya_national_park,Gal Oya National Park,Gal_Oya_National_Park,2026,1,6,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,1,623,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,2,529,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,3,594,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,4,539,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,5,440,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,6,441,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,7,475,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,8,555,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,9,445,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,10,412,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,11,331,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2024,12,358,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,1,448,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,2,327,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,3,521,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,4,503,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,5,446,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,6,473,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,7,470,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,8,423,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,9,386,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,10,322,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,11,317,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2025,12,241,Wikimedia Pageviews API monthly per-article
lk_ampara_kumana_national_park,Kumana National Park,Kumana_National_Park,2026,1,6,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,1,11,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,2,9,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,3,10,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,4,8,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,5,4,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,6,11,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,7,14,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,8,14,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,9,12,Wikimedia Pageviews API monthly per-article
