place_id,display_name,wiki_title,status,monthly_rows
lk_badulla_peacock_hill,Peacock Hill,"Peacock_Hill,_Sri_Lanka",no_data,0
lk_badulla_thangamale_sanctuary,Thangamale Sanctuary,Thangamale_Sanctuary,no_data,0
lk_batticaloa_pasikuda_beach,Pasikuda Beach,Pasikuda,no_data,0
lk_batticaloa_mamangam_temple,Mamangam Temple,Mamangam_Temple,no_data,0
lk_colombo_geoffrey_bawa_s_number_11,Geoffrey Bawa's Number 11,Geoffrey_Bawa's_home_Number_11,no_data,0
lk_colombo_mount_lavinia_beach,Mount Lavinia Beach,Mount_Lavinia_Beach,no_data,0
lk_colombo_bellanwila_rajamaha_viharaya,Bellanwila Rajamaha Viharaya,Bellanwila_Raja_Maha_Viharaya,no_data,0
lk_colombo_dutch_museum,Dutch Museum,"Dutch_Museum,_Colombo",no_data,0
lk_colombo_national_art_gallery,National Art Gallery,National_Art_Gallery_(Sri_Lanka),no_data,0
lk_colombo_national_museum_of_natural_history,National Museum of Natural History,"National_Museum_of_Natural_History,_Sri_Lanka",no_data,0
lk_colombo_old_dutch_hospital,Old Dutch Hospital,"Old_Dutch_Hospital,_Colombo",no_data,0
lk_colombo_viharamahadevi_park,Viharamahadevi Park,Viharamahadevi_Park,ok,25
lk_galle_unawatuna_beach,Unawatuna Beach,Unawatuna,ok,25
lk_galle_galle_lighthouse,Galle Lighthouse,Galle_Lighthouse,ok,25
lk_galle_madu_ganga,Madu Ganga,Madu_Ganga,no_data,0
lk_galle_ahangama_beach,Ahangama Beach,Ahangama,ok,25
lk_galle_ariyapala_mask_museum,Ariyapala Mask Museum,Ariyapala_Mask_Museum,no_data,0
lk_galle_balapitiya_beach,Balapitiya Beach,Balapitiya,ok,25
lk_galle_flag_rock_bastion,Flag Rock Bastion,Flag_Rock_Bastion,no_data,0
lk_galle_groote_kerk_galle,"Groote Kerk, Galle","Dutch_Reformed_Church,_Galle",no_data,0
lk_galle_handunugoda_tea_estate,Handunugoda Tea Estate,Handunugoda_Tea_Estate,ok,10
lk_galle_japanese_peace_pagoda_rumassala,"Japanese Peace Pagoda, Rumassala","Japanese_Peace_Pagoda,_Unawatuna",no_data,0
lk_galle_jungle_beach,Jungle Beach,"Jungle_Beach,_Sri_Lanka",no_data,0
lk_galle_kanneliya_forest_reserve,Kanneliya Forest Reserve,Kanneliya-Dediyagala-Nakiyadeniya,ok,25
lk_galle_koggala_lake,Koggala Lake,Koggala_Lake,ok,25
lk_galle_kosgoda_turtle_hatchery,Kosgoda Turtle Hatchery,Kosgoda,ok,25
lk_galle_maritime_museum_galle,"Maritime Museum, Galle","National_Maritime_Museum,_Galle",no_data,0
lk_galle_martin_wickramasinghe_folk_museum,Martin Wickramasinghe Folk Museum,Martin_Wickramasinghe_Folk_Museum_Complex,no_data,0
lk_galle_national_museum_of_galle,National Museum of Galle,National_Museum_of_Galle,ok,25
lk_galle_seenigama_devalaya,Seenigama Devalaya,Seenigama_Muhudu_Viharaya,no_data,0
lk_galle_wijaya_beach,Wijaya Beach,Wijaya_Beach,no_data,0
lk_galle_all_saints_church_galle,"All Saints' Church, Galle","All_Saints'_Church,_Galle",ok,25
lk_galle_sea_turtle_hatchery_habaraduwa,"Sea Turtle Hatchery, Habaraduwa",Sea_Turtle_Conservation_Museum,no_data,0
lk_galle_stilt_fishermen_koggala,"Stilt Fishermen, Koggala",Stilt_fishing,no_data,0
lk_gampaha_henarathgoda_botanical_garden,Henarathgoda Botanical Garden,Henarathgoda_Botanical_Garden,ok,25
lk_gampaha_kelaniya_raja_maha_vihara,Kelaniya Raja Maha Vihara,Kelaniya_Raja_Maha_Vihara,no_data,0
lk_gampaha_negombo_beach,Negombo Beach,Negombo,ok,25
lk_gampaha_angurukaramulla_temple,Angurukaramulla Temple,Angurukaramulla_Temple,no_data,0
lk_gampaha_attanagalla_rajamaha_viharaya,Attanagalla Rajamaha Viharaya,Attanagalla_Raja_Maha_Vihara,no_data,0
lk_gampaha_muthurajawela_marsh,Muthurajawela Marsh,Muthurajawela,no_data,0
lk_gampaha_negombo_fish_market,Negombo Fish Market,Negombo_Fish_Market,no_data,0
lk_gampaha_negombo_lagoon,Negombo Lagoon,Negombo_Lagoon,ok,25
lk_gampaha_st_mary_s_church_negombo,"St. Mary's Church, Negombo","St._Mary's_Church,_Negombo",ok,25
lk_gampaha_st_sebastian_s_church_negombo,"St. Sebastian's Church, Negombo","St._Sebastian's_Church,_Negombo",ok,25
lk_gampaha_ave_maria_convent_negombo,"Ave Maria Convent, Negombo",Negombo,ok,25
lk_gampaha_hamilton_canal,Hamilton Canal,Hamilton_Canal_(Sri_Lanka),no_data,0
lk_gampaha_negombo_dutch_fort,Negombo Dutch Fort,Negombo_Fort,no_data,0
lk_hambantota_yala_national_park,Yala National Park,Yala_National_Park,ok,25
lk_hambantota_bundala_national_park,Bundala National Park,Bundala_National_Park,ok,25
lk_hambantota_tangalle_beach,Tangalle Beach,Tangalle,no_data,0
lk_hambantota_mulkirigala_raja_maha_vihara,Mulkirigala Raja Maha Vihara,Mulkirigala_Raja_Maha_Vihara,ok,25
lk_hambantota_ussangoda_national_park,Ussangoda National Park,Ussangoda_National_Park,ok,25
lk_hambantota_bundala_lagoons,Bundala Lagoons,Bundala_National_Park,ok,25
lk_hambantota_dry_zone_botanic_gardens_mirijjawila,"Dry Zone Botanic Gardens, Mirijjawila","Dry_Zone_Botanic_Gardens,_Hambantota",no_data,0
lk_hambantota_hummanaya_blow_hole,Hummanaya Blow Hole,Hummanaya,ok,25
lk_hambantota_kalametiya_bird_sanctuary,Kalametiya Bird Sanctuary,Kalametiya_Bird_Sanctuary,no_data,0
lk_hambantota_kirinda_beach,Kirinda Beach,Kirinda,ok,25
lk_hambantota_kirinda_temple,Kirinda Temple,Kirinda_Temple,no_data,0
lk_hambantota_rekawa_beach,Rekawa Beach,Rekawa,no_data,0
lk_hambantota_ridiyagama_safari_park,Ridiyagama Safari Park,Ridiyagama_Safari_Park,ok,25
lk_hambantota_tangalle_lagoon,Tangalle Lagoon,Tangalle,no_data,0
lk_hambantota_wewurukannala_temple,Wewurukannala Temple,Wewurukannala_Vihara,no_data,0
lk_hambantota_yatala_vehera,Yatala Vehera,Yatala_Vehera,ok,25
