review_status,duplicate_status,planner_eligible,district,name,categories,latitude,longitude,osm_quality_score,importance_score,tier,duplicate_of_name,duplicate_distance_km,rejection_reason,osm_type,osm_id,osm_url,osm_tags
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9514243,80.1690913,0,3,tier_3,,,missing_name,way,893100080,https://www.openstreetmap.org/way/893100080,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9491319,80.1705262,0,3,tier_3,,,missing_name,way,1021235885,https://www.openstreetmap.org/way/1021235885,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9496262,80.1715056,0,3,tier_3,,,missing_name,way,1021235886,https://www.openstreetmap.org/way/1021235886,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9356566,80.2155165,0,3,tier_3,,,missing_name,way,1015905319,https://www.openstreetmap.org/way/1015905319,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9347021,80.2157103,0,3,tier_3,,,missing_name,way,1015905321,https://www.openstreetmap.org/way/1015905321,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9655913,80.1679556,0,3,tier_3,,,missing_name,way,1013672879,https://www.openstreetmap.org/way/1013672879,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9604091,80.1690832,0,3,tier_3,,,missing_name,way,1017199340,https://www.openstreetmap.org/way/1017199340,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9606133,80.1728817,0,3,tier_3,,,missing_name,way,893093419,https://www.openstreetmap.org/way/893093419,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9625333,80.1710109,0,3,tier_3,,,missing_name,way,1013672870,https://www.openstreetmap.org/way/1013672870,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9667575,80.1641618,0,3,tier_3,,,missing_name,way,758325868,https://www.openstreetmap.org/way/758325868,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9693619,80.1644949,0,3,tier_3,,,missing_name,way,892960913,https://www.openstreetmap.org/way/892960913,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9666748,80.1679031,0,3,tier_3,,,missing_name,way,893002988,https://www.openstreetmap.org/way/893002988,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9707951,80.1666993,0,3,tier_3,,,missing_name,way,1013676936,https://www.openstreetmap.org/way/1013676936,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9664687,80.1704816,0,3,tier_3,,,missing_name,way,1013672882,https://www.openstreetmap.org/way/1013672882,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9596018,80.1895243,0,3,tier_3,,,missing_name,way,893357961,https://www.openstreetmap.org/way/893357961,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9738459,80.1646023,0,3,tier_3,,,missing_name,way,1013676945,https://www.openstreetmap.org/way/1013676945,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9750875,80.1719657,0,3,tier_3,,,missing_name,way,897186301,https://www.openstreetmap.org/way/897186301,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9736404,80.1702406,0,3,tier_3,,,missing_name,way,1455209909,https://www.openstreetmap.org/way/1455209909,"{""area"": ""yes"", ""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9754121,80.176601,0,3,tier_3,,,missing_name,way,1025942126,https://www.openstreetmap.org/way/1025942126,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9795837,80.1645463,0,3,tier_3,,,missing_name,way,1013680510,https://www.openstreetmap.org/way/1013680510,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9736968,80.1798009,0,3,tier_3,,,missing_name,way,757218417,https://www.openstreetmap.org/way/757218417,"{""historic"": ""monument""}"
